storefront_i18n_rolesandprivileges-roleandprivileges.Uniquebusinessfeatures,Unique business feature,,
storefront_i18n_rolesandprivileges-roleandprivileges.bolreviewergroup,BOL reviewer,,
storefront_i18n_rolesandprivileges-roleandprivileges.logisticsupervisorgroup,Logistics supervisor,,
storefront_i18n_rolesandprivileges-roleandprivileges.supplymanagergroup,Supply manager,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewterminaltrafficgroup,View terminal traffic,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewterminaldisruptionsgroup,View terminal disruptions,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewwhereandwhatcaniliftgroup,View What and where have I lifted report,,
storefront_i18n_rolesandprivileges-roleandprivileges.createsetupchangerequestsgroup,Create setup change requests,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewterminaltrafficgroupTooltip,View busy and quiet periods for terminals.,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewterminaldisruptionsgroupTooltip,View any planned upcoming disruptions at terminals.,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewwhereandwhatcaniliftgroupTooltip,"View a report showing the combinations of badges, terminals, carriers and products that have been used over the past 6 months.",,
storefront_i18n_rolesandprivileges-roleandprivileges.createsetupchangerequestsgroupTooltip,Create a request for a new carrier or load account.,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewallocations,View allocations,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewallocationsTooltip,See how much product allocation is remaining.,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewbolreport,View BOL report,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewbolreportTooltip,View an extended history of BOL reports.,,
storefront_i18n_rolesandprivileges-roleandprivileges.reportingaccessfeatures,"Reporting, marketing & connected applications",,
storefront_i18n_rolesandprivileges-roleandprivileges.distributoracademygroup,Distributor academy,,
storefront_i18n_rolesandprivileges-roleandprivileges.salesmarketingusergroup,Sales and marketing manager,,
storefront_i18n_rolesandprivileges-roleandprivileges.distributoracademygroupTooltip,Access a training area where distributors can learn more about Shell products.,,
storefront_i18n_rolesandprivileges-roleandprivileges.e-commerce,E-commerce,,
storefront_i18n_rolesandprivileges-roleandprivileges.dfao,DFOA,,
storefront_i18n_rolesandprivileges-roleandprivileges.ordermanagementgroup,Order placer,,
storefront_i18n_rolesandprivileges-roleandprivileges.amendcreateorder,Create/Amend order,,
storefront_i18n_rolesandprivileges-roleandprivileges.orderreviewergroup,Order reviewer,,
storefront_i18n_rolesandprivileges-roleandprivileges.vieworder,View order,,
storefront_i18n_rolesandprivileges-roleandprivileges.searchorder,Search order,,
storefront_i18n_rolesandprivileges-roleandprivileges.financeusergroup,Finance manager,,
storefront_i18n_rolesandprivileges-roleandprivileges.monthlystatement,Monthly statement,,
storefront_i18n_rolesandprivileges-roleandprivileges.settlementadvice,Settlement advice,,
storefront_i18n_rolesandprivileges-roleandprivileges.accountsummary,Account summary,,
storefront_i18n_rolesandprivileges-roleandprivileges.billingsupervisorgroup,Billing supervisor,,
storefront_i18n_rolesandprivileges-roleandprivileges.rollingstatement,Rolling statement,,
storefront_i18n_rolesandprivileges-roleandprivileges.billingdocuments,Billing documents,,
storefront_i18n_rolesandprivileges-roleandprivileges.dfoareimbreport,DFOA reimbursement report,,
storefront_i18n_rolesandprivileges-roleandprivileges.warehousemgrusergroup,Warehouse manager,,
storefront_i18n_rolesandprivileges-roleandprivileges.deliverydocumnets,Delivery documents,,
storefront_i18n_rolesandprivileges-roleandprivileges.deliveryticket,Delivery ticket,,
storefront_i18n_rolesandprivileges-roleandprivileges.pricing,Price viewer,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewpricingpriv,View pricing,,
storefront_i18n_rolesandprivileges-roleandprivileges.dfoaorderplacergroup,DFOA Order placer,,
storefront_i18n_rolesandprivileges-roleandprivileges.dfoacustomerrestrictionreport,DFOA Customer restrictions report,,
storefront_i18n_rolesandprivileges-roleandprivileges.shellprodreport,Shell product report,,
storefront_i18n_rolesandprivileges-roleandprivileges.dfoacreateorder,DFOA Create order,,
storefront_i18n_rolesandprivileges-roleandprivileges.dfoaorderreviewer,DFOA Order reviewer,,
storefront_i18n_rolesandprivileges-roleandprivileges.dfoavieworder,DFOA View order,,
storefront_i18n_rolesandprivileges-roleandprivileges.dfoasearchorder,DFOA search order,,
storefront_i18n_rolesandprivileges-roleandprivileges.dfoaexpertdeliverygroup,DFOA Delivery expert,,
storefront_i18n_rolesandprivileges-roleandprivileges.dfoaviewconfirmorder,DFOA View/Confirm order,,
storefront_i18n_rolesandprivileges-roleandprivileges.reportingaccessgroup,Access card reports and settlements,,
storefront_i18n_rolesandprivileges-roleandprivileges.reportingaccessgroupTooltip,Access card reports and settlements also known as Mobility Transaction and Settlement Platform (MTSP),,
storefront_i18n_rolesandprivileges-roleandprivileges.thirdpartyusergroup,Third party access,,
storefront_i18n_rolesandprivileges-roleandprivileges.mtspreport,MTSP,,
storefront_i18n_rolesandprivileges-roleandprivileges.compricegroup,COMPRICE,,
storefront_i18n_rolesandprivileges-roleandprivileges.guestexperiencegroup,Guest Experience (GDX),,
storefront_i18n_rolesandprivileges-roleandprivileges.voicecustomergroup,Voice of Customer (SMG),,
storefront_i18n_rolesandprivileges-roleandprivileges.compricegroupTooltip,Access COMPRICE,,
storefront_i18n_rolesandprivileges-roleandprivileges.guestexperiencegroupTooltip,Access Guest Experience (GDX),,
storefront_i18n_rolesandprivileges-roleandprivileges.voicecustomergroupTooltip,Access Customer (SMG),,
storefront_i18n_rolesandprivileges-roleandprivileges.mtspreportTooltip,Access Mobility Transaction and Settlement platform,,
storefront_i18n_rolesandprivileges-roleandprivileges.reportingmanagergroup,Reporting Manager,,
storefront_i18n_rolesandprivileges-roleandprivileges.salesvaluegroup,View Sales Value,,
storefront_i18n_rolesandprivileges-roleandprivileges.salesvolumegroup,View Sales Volume,,
storefront_i18n_rolesandprivileges-roleandprivileges.salesvaluegroupTooltip,Get a summary of the value of products purchased for a specific time period,,
storefront_i18n_rolesandprivileges-roleandprivileges.salesvolumegroupTooltip,Get a summary of the quantity of products purchased for a specific time period,,
storefront_i18n_rolesandprivileges-roleandprivileges.aviationfuelmanagergroup,Aviation Fuels Manager,,
storefront_i18n_rolesandprivileges-roleandprivileges.fuelRequest,Fuel request,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewContracts,View contracts,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewHistory,View fuel request history,,
storefront_i18n_rolesandprivileges-roleandprivileges.fuelRequestTooltip,Create and submit fuel requests,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewContractsTooltip,View contracts for all associated accounts,,
storefront_i18n_rolesandprivileges-roleandprivileges.viewHistoryTooltip,View fuel requests history,,
storefront_i18n_rolesandprivileges-roleandprivileges.rtspgroup,Retail transaction settlement platform (RTSP),,
storefront_i18n_rolesandprivileges-roleandprivileges.rtspgroupTooltip,Access Retail Transaction and Settlement Platform (RTSP),,
storefront_i18n_rolesandprivileges-roleandprivileges.aviationsupervisorgroup,TSA supervisior,,
storefront_i18n_rolesandprivileges-roleandprivileges.enrollForCourses,Enroll operators for training courses,,
storefront_i18n_rolesandprivileges-roleandprivileges.aviationoperatorgroup,TSA operator,,
storefront_i18n_rolesandprivileges-roleandprivileges.hsse,HSSE,,
storefront_i18n_rolesandprivileges-roleandprivileges.technicalMaterial,Technical materials,,
storefront_i18n_rolesandprivileges-roleandprivileges.training,Training,,
storefront_i18n_rolesandprivileges-roleandprivileges.manualsIndustryStandards,Manuals and industry standards,,
storefront_i18n_rolesandprivileges-roleandprivileges.newsArticles,News and articles,,
storefront_i18n_rolesandprivileges-roleandprivileges.cardreportgroup,PMTDR,,
storefront_i18n_rolesandprivileges-roleandprivileges.cardreportgroupTooltip,People Make The Difference Real,,
storefront_i18n_rolesandprivileges-roleandprivileges.dgngroup,DGN,,
storefront_i18n_rolesandprivileges-roleandprivileges.dtngroup,DTN,,
storefront_i18n_rolesandprivileges-roleandprivileges.dgngroupTooltip,Marketing Services,,
storefront_i18n_rolesandprivileges-roleandprivileges.dtngroupTooltip,Allocation Viewer,,